,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
69,1166,no,1.5,1,0,yes,43,0.8,80,4,1,205,603,3993.0,7,1,7.0,1,1,no_wifi,very high cost
70,1448,yes,0.5,1,6,yes,45,0.8,138,7,11,570,1724,3378.0,13,11,2.0,1,1,wifi,very high cost
71,1407,yes,2.4,0,1,yes,22,0.7,104,4,4,1172,1217,2192.0,9,7,13.0,1,0,wifi,high cost
72,605,no,1.0,0,8,yes,9,0.1,142,3,16,160,1026,392.0,15,6,4.0,1,0,no_wifi,low cost
73,1038,no,1.2,0,3,no,43,0.7,141,1,5,4,638,3709.0,11,0,12.0,1,1,wifi,very high cost
74,797,yes,2.9,1,4,no,38,0.5,90,4,6,763,1413,590.0,9,2,6.0,0,1,no_wifi,low cost
75,819,no,0.6,1,8,yes,42,0.9,188,6,20,339,1242,1814.0,5,4,13.0,1,0,wifi,medium cost
76,1114,no,2.8,0,4,yes,9,0.4,197,3,15,1040,1071,907.0,10,7,,1,1,no_wifi,low cost
77,1234,yes,1.6,1,1,no,33,0.6,172,1,3,166,778,1449.0,11,7,6.0,0,0,wifi,low cost
78,1199,yes,2.5,1,15,yes,16,0.2,116,4,20,1168,1552,3448.0,17,13,10.0,1,0,wifi,very high cost
79,1103,no,1.0,1,6,no,29,0.7,111,6,8,990,1486,1837.0,8,7,16.0,0,1,wifi,medium cost
80,1589,yes,0.6,1,0,yes,58,0.9,85,7,7,319,1639,3464.0,19,10,6.0,1,1,wifi,very high cost
81,999,no,2.9,1,11,yes,64,0.2,199,4,19,1397,1616,2593.0,14,11,16.0,1,1,no_wifi,high cost
82,1510,yes,0.9,1,2,no,45,0.9,180,5,3,708,1752,3484.0,9,6,11.0,0,1,wifi,very high cost
83,1008,no,0.8,0,11,no,61,1.0,114,3,15,1077,1122,2009.0,10,3,11.0,1,0,no_wifi,medium cost
84,1127,yes,2.9,1,5,yes,57,0.8,163,1,13,928,1049,2048.0,11,5,17.0,1,1,wifi,medium cost
85,1412,yes,2.4,0,5,no,25,0.8,96,8,17,516,1894,837.0,15,9,4.0,0,0,wifi,medium cost
86,1496,yes,2.0,1,4,no,42,0.5,182,5,5,96,741,854.0,16,0,7.0,0,1,wifi,low cost
87,1083,yes,2.9,1,1,yes,64,0.8,178,3,11,1025,1118,3210.0,13,3,4.0,1,0,no_wifi,very high cost
88,668,no,0.5,1,0,no,3,0.1,155,5,13,666,1203,2746.0,9,5,8.0,1,1,wifi,high cost
89,1309,no,1.1,1,0,no,33,0.5,100,4,14,557,1402,2334.0,10,1,11.0,1,0,wifi,high cost
90,1724,no,2.0,1,2,yes,57,0.5,177,3,5,1605,1924,2822.0,19,3,16.0,1,1,no_wifi,very high cost
91,1977,yes,2.0,1,7,yes,54,1.0,171,7,18,1226,1242,1971.0,18,7,14.0,1,1,no_wifi,high cost
92,885,no,2.3,1,0,yes,15,0.4,103,7,0,769,802,1410.0,16,10,5.0,1,1,wifi,low cost
93,879,yes,2.5,0,11,yes,14,0.7,83,6,15,403,1105,349.0,16,10,2.0,1,0,wifi,low cost
94,1322,no,1.7,1,6,no,7,0.8,140,3,9,177,1990,1418.0,19,17,12.0,0,1,no_wifi,medium cost
95,1137,yes,1.0,0,18,no,7,1.0,196,3,19,942,1179,3616.0,13,5,12.0,1,1,wifi,very high cost
96,1355,no,2.3,0,10,yes,23,0.2,132,5,16,651,891,880.0,19,4,8.0,1,1,no_wifi,low cost
97,1665,yes,0.5,0,3,yes,60,0.2,194,6,18,1572,1684,1601.0,18,17,14.0,1,0,no_wifi,high cost
98,657,no,2.5,0,0,no,37,0.7,141,2,1,476,961,1412.0,14,3,18.0,0,1,no_wifi,low cost
99,593,no,0.5,0,6,no,31,0.4,156,7,7,1233,1317,1692.0,6,2,7.0,1,0,no_wifi,medium cost
100,1883,yes,0.5,0,3,yes,10,0.3,146,6,13,836,1739,2600.0,16,8,,1,0,no_wifi,very high cost
101,1732,yes,1.1,0,4,yes,12,0.8,119,8,9,824,881,1308.0,16,7,11.0,1,0,wifi,medium cost
102,543,no,0.5,0,0,no,57,0.7,192,5,4,391,984,2413.0,17,14,15.0,1,0,no_wifi,medium cost
103,1939,yes,2.8,1,0,yes,55,0.6,199,4,10,320,520,1047.0,14,10,18.0,1,1,no_wifi,low cost
104,553,no,2.4,1,1,yes,8,0.5,121,7,3,325,902,1204.0,11,4,8.0,1,1,wifi,low cost
105,832,no,0.7,1,2,yes,39,0.7,103,4,3,125,1504,1799.0,5,2,11.0,1,0,wifi,medium cost
106,1661,no,1.9,1,5,no,23,1.0,172,5,10,846,1634,2676.0,12,6,11.0,0,1,wifi,very high cost
107,1657,yes,2.4,0,3,no,42,0.1,198,5,16,1770,1796,2597.0,18,1,14.0,1,0,no_wifi,very high cost
108,1135,yes,2.0,1,0,no,46,0.3,83,1,4,293,1846,3029.0,19,17,9.0,1,1,wifi,very high cost
109,1775,yes,1.5,0,3,no,41,0.1,163,1,7,1633,1869,2343.0,19,13,14.0,1,1,wifi,very high cost
110,783,no,1.8,1,0,yes,43,1.0,106,3,4,1198,1471,2016.0,16,4,18.0,1,1,no_wifi,medium cost
111,617,yes,2.3,0,0,no,32,0.5,199,7,20,768,874,2213.0,18,13,7.0,0,0,no_wifi,medium cost
112,867,no,1.4,1,0,yes,4,0.7,135,6,1,70,1974,790.0,13,6,3.0,1,1,no_wifi,low cost
113,1310,yes,1.1,1,13,no,7,1.0,194,5,14,117,513,3182.0,8,4,5.0,1,1,no_wifi,high cost
114,1804,no,0.5,0,9,yes,22,0.6,153,7,19,1158,1244,3472.0,9,1,20.0,1,0,wifi,very high cost
115,1900,yes,2.3,0,1,yes,18,0.2,89,7,9,1055,1661,2871.0,12,1,13.0,1,1,wifi,very high cost
116,909,yes,1.4,0,0,no,53,0.3,82,8,0,635,973,3187.0,12,9,4.0,1,0,no_wifi,high cost
117,1084,yes,2.6,0,3,yes,40,0.9,107,3,11,322,771,1945.0,15,4,10.0,1,1,no_wifi,medium cost
118,1308,no,1.3,1,8,no,46,0.9,199,1,12,275,989,488.0,5,3,9.0,0,1,no_wifi,low cost
119,1778,no,0.5,0,0,no,15,0.5,102,3,0,1445,1954,1214.0,5,0,14.0,1,0,no_wifi,medium cost
120,1701,yes,1.6,1,3,no,10,0.3,194,8,7,550,1338,2598.0,12,9,6.0,0,1,no_wifi,high cost
121,772,yes,2.4,1,1,yes,10,0.5,80,4,2,1242,1712,3242.0,18,11,4.0,1,1,no_wifi,very high cost
122,825,yes,0.5,1,7,no,52,0.9,130,3,10,597,863,3534.0,10,4,6.0,0,1,no_wifi,very high cost
123,1379,no,1.1,0,5,yes,36,0.8,200,2,7,538,1376,3426.0,5,4,17.0,1,1,wifi,very high cost
124,1166,no,2.0,0,3,yes,25,0.8,198,5,4,59,1203,2488.0,13,5,15.0,1,0,no_wifi,high cost
125,1659,no,2.8,0,5,no,16,0.6,89,1,20,819,902,,19,14,9.0,0,0,wifi,very high cost
127,1564,no,2.3,0,4,yes,25,0.5,189,6,17,1259,1965,1496.0,6,4,7.0,1,1,wifi,medium cost
128,1957,no,0.9,1,11,no,31,0.6,181,3,16,396,1732,3801.0,12,0,7.0,1,0,wifi,very high cost
129,1571,no,1.4,0,0,yes,19,0.1,100,6,1,713,1398,,12,10,13.0,1,1,no_wifi,low cost
130,1414,no,2.0,1,2,no,54,0.8,99,7,3,262,829,3799.0,17,7,7.0,1,0,wifi,very high cost
131,1790,no,2.5,1,9,no,2,0.1,184,1,14,622,792,1366.0,7,0,20.0,1,1,wifi,medium cost
132,645,no,0.5,0,1,no,41,1.0,197,7,10,327,580,2962.0,12,9,4.0,1,1,wifi,high cost
133,668,no,2.9,1,7,no,30,0.2,195,8,12,522,1056,2399.0,10,5,7.0,1,1,wifi,medium cost
134,1652,yes,1.1,1,1,no,36,0.7,89,4,5,313,1264,2338.0,12,8,20.0,0,0,no_wifi,high cost
135,1213,yes,0.5,0,0,no,16,0.5,108,5,0,226,1248,2700.0,12,3,9.0,0,0,wifi,high cost
136,1272,yes,2.5,1,0,no,22,0.9,133,6,8,605,669,2235.0,19,4,4.0,1,0,no_wifi,medium cost
137,866,no,0.5,1,5,yes,46,0.5,179,8,7,692,1686,3825.0,12,11,2.0,1,1,wifi,very high cost
138,536,no,2.4,1,12,yes,3,0.3,182,7,14,1386,1539,284.0,12,9,4.0,1,1,no_wifi,low cost
139,523,no,2.6,1,1,no,14,0.1,155,8,2,304,1042,1427.0,9,1,9.0,0,1,no_wifi,low cost
140,1753,no,0.5,1,0,yes,31,0.1,134,1,18,1590,1926,1324.0,17,0,17.0,1,0,wifi,high cost
141,1218,no,1.8,1,1,yes,14,0.5,147,3,4,229,616,398.0,17,0,5.0,1,0,no_wifi,low cost
142,1537,yes,2.5,0,4,yes,43,0.3,137,1,5,839,1131,3685.0,18,17,17.0,1,1,wifi,very high cost
143,786,no,2.2,1,0,no,33,0.5,141,7,6,507,1697,2390.0,12,11,5.0,1,0,wifi,high cost
144,1678,no,2.1,0,3,yes,64,0.9,134,3,11,436,536,278.0,19,0,10.0,1,1,no_wifi,low cost
146,1101,no,1.8,0,0,no,31,0.2,148,2,7,387,1269,2196.0,12,6,19.0,0,1,wifi,medium cost
147,1461,no,2.4,1,3,yes,40,0.5,141,7,4,1265,1298,3799.0,16,1,4.0,1,0,no_wifi,very high cost
148,1216,no,3.0,0,4,no,47,0.4,199,3,7,1852,1967,2268.0,13,5,4.0,0,1,wifi,high cost
149,506,no,1.6,0,6,yes,41,0.8,159,1,7,875,1025,2965.0,13,10,15.0,1,0,no_wifi,high cost
150,843,yes,0.5,0,1,yes,56,0.1,147,5,17,140,800,2341.0,10,1,20.0,1,1,wifi,medium cost
151,742,no,2.2,1,4,no,56,0.2,190,7,14,577,1359,3557.0,16,11,12.0,0,1,wifi,very high cost
152,1692,yes,2.1,0,3,yes,61,0.9,176,6,12,975,1996,1354.0,16,7,19.0,1,0,no_wifi,medium cost
153,1485,no,1.0,0,2,yes,32,0.7,84,2,9,510,1013,2147.0,19,1,11.0,1,1,no_wifi,high cost
154,1547,no,2.9,1,6,no,45,0.7,166,2,8,583,590,505.0,12,2,3.0,0,1,wifi,low cost
155,1692,no,2.3,1,4,yes,46,0.9,139,1,6,674,1925,1394.0,16,10,,1,1,no_wifi,medium cost
156,637,no,2.3,0,3,yes,60,0.8,97,4,4,1125,1989,374.0,18,4,8.0,1,0,wifi,low cost
157,1224,no,0.5,0,16,yes,6,0.4,109,6,18,747,826,506.0,10,0,11.0,1,1,wifi,low cost
158,1356,no,2.8,0,0,no,29,0.5,198,6,0,1612,1983,3702.0,17,0,19.0,0,0,no_wifi,very high cost
159,1840,no,0.5,1,12,no,34,0.7,142,1,16,311,1545,1078.0,8,0,10.0,0,0,no_wifi,medium cost
160,1481,yes,0.7,1,4,yes,37,0.6,96,5,13,116,1533,2945.0,10,5,16.0,1,1,wifi,high cost
161,961,yes,1.5,1,10,no,51,0.3,152,6,16,554,621,2981.0,15,6,7.0,1,1,wifi,high cost
162,1296,no,0.9,1,0,yes,14,0.5,124,5,3,811,1272,490.0,7,1,4.0,1,1,wifi,low cost
163,1193,no,0.9,0,11,no,26,0.5,166,1,20,730,1729,536.0,17,14,4.0,1,0,wifi,low cost
164,1441,no,2.1,1,11,yes,3,0.1,118,8,17,577,1071,2317.0,16,4,7.0,1,0,wifi,high cost
165,517,no,1.4,1,3,yes,33,0.8,183,4,8,660,974,3704.0,17,16,11.0,1,0,wifi,very high cost
166,748,yes,1.7,0,0,yes,27,0.9,150,8,4,450,1554,2126.0,18,9,7.0,1,0,no_wifi,medium cost
167,1126,yes,2.4,0,2,yes,10,0.4,160,6,3,1223,1611,2050.0,7,6,12.0,1,1,wifi,high cost
168,1572,no,0.6,0,0,yes,58,0.2,157,7,8,1109,1937,2462.0,12,8,10.0,1,0,no_wifi,very high cost
169,1569,no,2.8,1,17,no,44,0.3,110,4,20,45,1942,1260.0,9,2,17.0,1,0,no_wifi,medium cost
170,1270,yes,0.6,1,2,yes,32,0.5,101,7,6,299,845,3770.0,5,3,13.0,1,1,no_wifi,very high cost
171,1854,no,3.0,0,2,yes,8,0.1,101,5,5,506,627,1886.0,17,4,20.0,1,1,no_wifi,medium cost
172,625,yes,1.2,1,5,yes,10,0.2,183,4,8,635,842,3323.0,9,1,7.0,1,1,wifi,high cost
173,1577,no,0.5,1,0,yes,42,0.3,197,5,4,1045,1737,2060.0,19,6,12.0,1,0,no_wifi,high cost
174,534,no,0.5,1,0,yes,16,1.0,189,5,1,393,1199,3926.0,16,12,20.0,1,0,no_wifi,very high cost
175,946,no,1.7,1,8,yes,25,0.8,143,6,15,650,1740,2177.0,7,5,13.0,1,1,wifi,high cost
176,685,no,0.5,0,2,no,29,0.8,93,7,10,433,648,728.0,14,8,4.0,0,0,wifi,low cost
177,1949,no,1.3,1,0,no,23,0.1,101,5,1,839,1136,2478.0,14,8,20.0,1,0,no_wifi,very high cost
178,947,no,0.8,1,0,yes,22,0.1,197,2,13,1176,1220,2842.0,16,12,2.0,1,0,no_wifi,high cost
179,801,yes,2.2,1,2,no,63,0.4,165,7,4,650,879,1617.0,17,4,19.0,0,0,wifi,medium cost
180,703,yes,2.7,0,12,yes,30,0.3,113,1,20,218,1065,1472.0,14,7,7.0,1,0,no_wifi,low cost
181,1165,yes,2.4,0,11,no,41,0.2,178,6,12,564,831,764.0,19,12,,1,0,no_wifi,low cost
182,1082,no,0.8,0,0,no,38,0.1,198,8,5,986,1191,2337.0,6,1,17.0,0,1,wifi,high cost
183,959,yes,2.6,1,15,no,20,1.0,84,4,19,561,1631,3965.0,16,1,6.0,1,0,no_wifi,very high cost
184,1502,yes,1.2,0,0,no,54,0.2,138,5,12,65,588,3693.0,17,14,16.0,1,1,no_wifi,very high cost
185,1380,yes,2.1,1,1,yes,4,0.8,92,3,13,420,500,797.0,13,2,15.0,1,1,no_wifi,low cost
186,1266,no,0.5,0,0,yes,5,0.1,95,6,9,1365,1698,1687.0,11,0,18.0,1,0,no_wifi,high cost
187,1934,yes,2.6,1,0,yes,46,0.1,103,1,17,619,1299,2940.0,13,9,2.0,1,1,wifi,very high cost
188,1905,yes,0.5,0,3,yes,6,0.5,151,1,5,849,898,1545.0,9,5,10.0,1,1,no_wifi,medium cost
189,1831,no,1.4,1,2,no,43,0.9,150,5,5,611,1381,3834.0,17,7,13.0,1,1,wifi,very high cost
190,596,no,1.4,0,8,no,46,0.6,165,1,18,953,984,2505.0,15,4,15.0,1,1,no_wifi,medium cost
191,1562,yes,1.3,1,1,yes,7,0.2,190,5,15,642,1533,2243.0,12,10,6.0,1,0,no_wifi,high cost
192,1490,yes,0.5,1,4,yes,64,0.3,150,8,8,1417,1464,3600.0,17,9,7.0,1,1,wifi,very high cost
193,1523,yes,2.4,0,5,yes,57,0.2,117,2,6,247,539,3971.0,18,12,10.0,1,1,wifi,very high cost
194,640,no,0.6,0,0,no,20,0.1,163,4,15,710,1179,2844.0,7,5,18.0,1,1,no_wifi,high cost
195,1526,no,2.1,0,1,yes,23,0.2,117,7,8,718,751,2227.0,18,10,3.0,1,1,no_wifi,high cost
196,1989,no,2.5,1,0,yes,41,0.8,94,3,13,1100,1497,1665.0,17,9,12.0,1,1,wifi,high cost
197,1308,no,1.9,0,0,yes,61,0.7,106,3,7,59,1215,3355.0,15,2,4.0,1,0,wifi,very high cost
198,609,no,0.5,0,3,no,26,0.3,93,4,4,938,1948,1866.0,11,10,14.0,1,1,wifi,medium cost
199,1905,no,0.6,1,9,yes,36,0.4,119,3,20,825,1542,1287.0,13,4,16.0,1,0,no_wifi,medium cost
200,1703,yes,0.5,0,0,yes,22,0.6,192,1,0,286,1235,1046.0,5,4,13.0,1,0,wifi,low cost
201,1445,yes,2.4,1,7,yes,20,0.4,173,7,15,1273,1345,1441.0,7,4,13.0,1,1,wifi,medium cost
202,1087,no,1.3,0,0,yes,16,0.3,166,3,9,295,589,690.0,14,6,6.0,1,0,wifi,low cost
203,671,no,0.9,1,10,no,30,0.7,105,7,17,852,1182,2504.0,6,4,15.0,1,0,no_wifi,high cost
204,1472,yes,2.3,0,6,no,61,0.1,168,6,19,710,1052,2677.0,19,15,8.0,1,0,no_wifi,high cost
205,765,no,0.5,1,0,yes,47,0.3,115,8,1,1277,1429,2243.0,11,7,4.0,1,0,wifi,high cost
206,1642,no,0.5,1,16,yes,8,0.3,171,6,17,129,873,2984.0,13,4,17.0,1,0,wifi,high cost
207,1265,no,1.5,0,7,no,49,0.7,182,5,16,690,836,1362.0,5,0,12.0,0,0,wifi,medium cost
208,664,yes,2.0,1,1,yes,51,0.1,110,7,4,701,1478,3629.0,19,15,6.0,1,1,wifi,very high cost
209,1277,yes,0.5,1,0,yes,35,0.4,142,6,6,309,1460,3559.0,18,17,6.0,1,1,no_wifi,very high cost
210,1395,no,1.8,1,0,no,23,0.1,111,3,1,213,705,2571.0,11,0,13.0,1,0,wifi,high cost
211,1539,yes,2.6,0,0,no,41,0.1,159,8,0,1112,1666,2107.0,15,9,10.0,1,0,wifi,high cost
212,1049,yes,2.2,0,9,no,63,0.5,135,5,17,199,1077,1022.0,11,3,13.0,0,0,no_wifi,low cost
213,1827,no,1.7,0,4,yes,39,0.5,128,5,16,55,1020,2844.0,14,9,10.0,1,1,no_wifi,high cost
214,903,no,1.0,1,0,yes,50,0.4,91,1,0,1230,1235,711.0,9,5,10.0,1,1,no_wifi,low cost
215,1987,yes,0.5,0,3,yes,53,1.0,181,3,7,1052,1516,3117.0,18,5,8.0,1,1,wifi,very high cost
216,1154,no,1.2,1,0,yes,49,0.2,181,8,2,541,1499,978.0,5,3,7.0,1,0,wifi,low cost
217,1336,no,0.9,0,5,yes,17,0.2,194,5,9,55,583,1869.0,13,1,16.0,1,1,wifi,medium cost
218,1886,no,0.5,0,0,yes,24,0.4,112,3,1,809,1958,1179.0,16,7,20.0,1,0,wifi,medium cost
219,1551,no,1.1,0,4,no,51,0.1,88,5,6,1738,1995,3844.0,11,8,4.0,0,1,no_wifi,very high cost
220,850,yes,1.6,1,6,yes,29,0.5,133,5,19,404,642,593.0,19,17,10.0,1,0,wifi,low cost
221,660,no,0.5,0,5,yes,40,0.5,111,2,10,262,1178,588.0,6,5,18.0,1,1,wifi,low cost
222,1225,yes,2.1,1,8,no,13,0.5,116,4,12,759,1404,3836.0,12,11,11.0,0,0,no_wifi,very high cost
223,1452,yes,0.5,1,1,yes,25,0.9,123,6,11,42,1040,2669.0,12,10,13.0,1,0,no_wifi,high cost
224,1686,yes,2.8,1,3,no,38,0.1,166,4,4,397,1453,2958.0,14,11,2.0,0,0,no_wifi,very high cost
226,1708,yes,2.4,1,18,yes,49,0.1,109,1,19,233,517,3388.0,6,4,16.0,1,1,wifi,very high cost
227,1151,yes,2.9,1,0,no,31,0.6,128,8,1,1022,1560,2377.0,18,8,13.0,0,1,no_wifi,high cost
228,1578,,1.9,1,2,yes,37,0.1,138,4,19,411,1226,2458.0,19,16,3.0,1,0,wifi,high cost
